# 학술대회 목록 — 새 대회는 맨 윗줄에 추가. 형식: 회차 | 제목 | 일시 · 장소
# 포스터는 conference 폴더에 poster-회차.jpg 로 먼저 올려야 합니다.
51 | 시대적 저항성으로서의 비평의 힘 | 2026. 7. 10.(금) · 고려대학교 문과대학(서관) 202호
50 | 혼종의 상상력: 비인간 형상의 문학적 재현들 | 2025. 10. 25.(토) · 한양대학교 서울캠퍼스 인문과학대학 205호
49 | 증언으로서의 문학과 문화예술 | 2025. 2. 14.(금) · 한양대학교 ERICA캠퍼스 국제문화대학 520호
48 | 한류 이후 새로운 한국학 — 한국학의 현황과 전망 | 2024. 6. 29.(토) · 고려대학교 안암캠퍼스 문과대학(서관) 132호
47 | 서울의 문화지형학: 장소, 기억, 매체 (국제학술대회) | 2023. 12. 2.(토) · 서울대학교 신양인문학술정보관 국제회의실
46 | 인류의 경계넘기의 역사와 이민자 문학의 탄생 | 2023. 6. 17.(토) · 온라인(ZOOM)
45 | 사건으로서의 전쟁과 그 의미 | 2023. 1. 14.(토) · 온라인(ZOOM)
44 | 팬데믹 시대, 생명과 죽음 | 2022. 6. 18.(토) · 온라인(ZOOM)
43 | 코로나19 팬데믹 시대의 비교한국학 (경희대 HK+통합의료인문학연구단 공동) | 2021. 12. 4.(토) · 온라인(ZOOM)
42 | 횡단하는 세계문학과 한국문학 | 2021. 8. 21.(토) · 온라인(ZOOM)
41 | 포스트 팬데믹 시대 페미니즘/젠더의 향방 | 2021. 2. 6.(토) · 온라인(ZOOM)
