# 연혁 — 시간순 정렬(오래된 것부터). 형식: 날짜 | 내용
1991.12.29 | 국제한국학및비교학회(Association Internationale Etudes Coréennes et Comparées) 창립총회 및 학술토론회 (독일 베를린, 참가자 6명: 홀머 브로흘로스(독일 본대학교), Baasanjav Lakhva(국립몽골대학교), 김문학(일본 경도대학교), 송인(미국 캘리포니아대학교 헤이워드), 고송무(카자흐스탄 알마티 사범대학교), 김필(파리대학교))
1992.05 | 프랑스 법에 따라 학회 등록 및 로고 창안 (법인 대표: 김필)
1992.10.22–26 | 제2회 국제학술대회 (카자흐스탄 알마티 과학아카데미, 공동개최: 카자흐스탄 과학원 동방학연구소) — 약 80여 명 참가, 구소련 붕괴 후 개최된 최초의 대규모 한국학 학술대회
1993.07.12–16 | 제3회 국제학술대회 (벨기에 루벵 카톨릭대학교)
1994 | 국제비교한국학회(The International Association for Comparative Korean Studies: IACKS)로 학회 명칭 변경
1995.07.24–26 | 제4회 국제학술대회 (카자흐스탄 크질오다 사범대학) — 크질오다 사범대학 당국으로부터 “쌀알 위에 그려진 홍범도 장군의 정”을 기증받아 귀국 후 독립기념관에 희사
1995.12.30 | 『Comparative Korean Studies』 제1권 발간
1996.08.30 | 『Comparative Korean Studies』 제2권 발간
1996.10.04–05 | 제5회 국내학술대회 (부경대학교)
1997.07.29 | 제6회 국제학술대회 (몽고 울란바토르대학교)
1997.08.30 | 『Comparative Korean Studies』 제3권 발간
1998.10.24 | 제7회 국내학술대회 (경기대학교)
1998.12.30 | 『Comparative Korean Studies』 제4권 발간
1999.07.26 | 제8회 국제학술대회 (터키 이스탄불대학교) “21세기 한국문화의 전망과 과제”
1999.12.30 | 『Comparative Korean Studies』 제5권 발간
2000.06.09 | 제9회 국내학술대회 (경북대학교) “21세기 한국학의 전망과 과제”
2000.06.30 | 『Comparative Korean Studies』 제6권 발간
2000.12.31 | 『Comparative Korean Studies』 제7권 발간
2001.06.30 | 『Comparative Korean Studies』 제8권 발간
2001.07.03 | 제10회 국제학술대회 (State University of New York at Buffalo, USA) “Korean Studies in the 21st Century” (후원: 한국번역금고, 한국교류재단, 뉴욕 버팔로대학교 아시아연구전공)
2001.12.31 | 한국학술진흥재단 등재후보 학술지 선정 · 『Comparative Korean Studies』 제9권 발간
2002.06.07 | 제11회 국내학술대회 (서울대학교) “Korean Studies at the Crossroads” (후원: 한국학술진흥재단)
2002.06.29 | 『Comparative Korean Studies』 제10권 1호 발간
2002.12.31 | 『Comparative Korean Studies』 제10권 2호 발간
2003.05.23 | 제12회 국제학술대회 (서울대학교) “Diaspora in Korean (Immigrant) Literature” (후원: 대산문화재단) — 한인 미국이민 100주년 기념 학술대회. UC Berkeley Korean Studies Center와 공동 기획하였으나 SARS로 각각 개최하고 단행본은 공동 발간
2003.06.30 | 『Comparative Korean Studies』 제11권 1호 발간
2003.12.31 | 『Comparative Korean Studies』 제11권 2호 발간
2004.06.30 | 『Comparative Korean Studies』 제12권 1호 발간
2004.11.30 | 단행본 『Diaspora in Korean (Immigrant) Literature』 발간 (서울대학교 출판부)
2004.12.10–11 | 제13회 국제학술대회 (UC Berkeley, USA)
2004.12.31 | 『Comparative Korean Studies』 제12권 2호 발간
2005.06.30 | 『Comparative Korean Studies』 제13권 1호 발간
2005.09.23 | 제14회 국내학술대회 (서울대학교)
2005.12.31 | 『Comparative Korean Studies』 제13권 2호 발간
2006.06.30 | 『Comparative Korean Studies』 제14권 1호 발간
2006.11.22–23 | 제15회 국제학술대회 (Tottori University, Japan) “Cultural Exchange and Hallyu in Northeast Asia” (후원: 고려대학교 BK21 한국어문학교육연구단)
2006.12.31 | 『Comparative Korean Studies』 제14권 2호 발간 · 한국학술진흥재단 등재 학술지 선정
2007.06.30 | 『Comparative Korean Studies』 제15권 1호 발간
2007.08.24–25 | 제16회 국내학술대회 (고려대학교) “세계 속의 한국현대문학” (공동주최: 한국현대문학회, 후원: 한국학술진흥재단)
2007.12.31 | 『Comparative Korean Studies』 제15권 2호 발간
2008.06.30 | 『Comparative Korean Studies』 제16권 1호 발간
2008.07.01–02 | 제17회 국제학술대회 (Burapha University, Thailand) “Korean Studies throughout the World: Language, Literature and Education”
2008.12.31 | 『Comparative Korean Studies』 제16권 2호 발간
2009.04.30 | 『Comparative Korean Studies』 제17권 1호 발간
2009.08.31 | 『Comparative Korean Studies』 제17권 2호 발간
2009.10.30–31 | 제18회 학회 및 연구소 연합학술대회 (동국대학교) “한국문학 연구와 디아스포라” (공동주최: 한국비평문학회, 현대문학이론학회, 동국대학교 한국문학연구소, 후원: 동국대학교 BK21 인재양성사업단)
2009.12.31 | 『Comparative Korean Studies』 제17권 3호 발간
2010.04.30 | 『Comparative Korean Studies』 제18권 1호 발간
2010.05.08 | 제19회 국내학술대회 (전남대학교) “이상과 모더니즘” — 이상 탄생 백주년 기념 학술대회 (공동주최: 전남대학교 영미문화연구소)
2010.08.19 | 제19차 국제비교문학대회(ICLA)에 패널 구성 참가
2010.08.31 | 『Comparative Korean Studies』 제18권 2호 발간
2010.10.15–17 | 제20회 국내학술대회 (제주대학교) “아시아-태평양 지역의 이주와 트랜스내셔널리즘” (공동주최: 제주대학교 탐라문화연구소)
