# 학술지 발간 호 — 새 호는 맨 윗줄에 추가. 형식: 권-호 | 발간일 | 링크
# 링크가 .pdf로 끝나면 'PDF 내려받기', 아니면 '전자책 열람' 버튼이 됩니다.
34-2 | 2026. 8. 31. | https://www.kstudy.com/fbook/iacks/34-2/
34-1 | 2026. 4. 30. | https://www.kstudy.com/fbook/iacks/34-1/
33-3 | 2025. 12. 31. | https://www.kstudy.com/fbook/iacks/33-3/
33-2 | 2025. 8. 31. | https://www.kstudy.com/fbook/iacks/33-2/
33-1 | 2025. 4. 30. | https://www.kstudy.com/fbook/iacks/33-1/
32-3 | 2024. 12. 31. | https://www.kstudy.com/fbook/iacks/32-3/
32-2 | 2024. 8. 31. | https://www.kstudy.com/fbook/iacks/32-2/
32-1 | 2024. 4. 30. | https://www.kstudy.com/fbook/iacks/32-1/
31-3 | 2023. 12. 31. | https://www.kstudy.com/fbook/iacks/31-3/
31-2 | 2023. 8. 31. | https://www.kstudy.com/fbook/iacks/31-2/
31-1 | 2023. 4. 30. | https://www.kstudy.com/fbook/iacks/31-1/
30-3 | 2022. 12. 31. | https://www.kstudy.com/fbook/iacks/30-3/
30-2 | 2022. 8. 31. | https://www.kstudy.com/fbook/iacks/30-2/
30-1 | 2022. 4. 30. | https://www.kstudy.com/fbook/iacks/30-1/
29-3 | 2021. 12. 31. | https://www.kstudy.com/fbook/iacks/29-3/
29-2 | 2021. 8. 31. | https://www.kstudy.com/fbook/iacks/29-2/
29-1 | 2021. 4. 30. | https://www.kstudy.com/fbook/iacks/29-1/
28-3 | 2020. 12. 31. | https://www.kstudy.com/fbook/iacks/28-3/
28-2 | 2020. 8. 31. | journal/cks-28-2.pdf
28-1 | 2020. 4. 30. | journal/cks-28-1.pdf
27-3 | 2019. 12. 31. | journal/cks-27-3.pdf
27-2 | 2019년 발행 | journal/cks-27-2.pdf
27-1 | 2019년 발행 | journal/cks-27-1.pdf
26-3 | 2018. 12. 31. | journal/cks-26-3.pdf
26-2 | 2018. 8. 3. | journal/cks-26-2.pdf
26-1 | 2018. 4. 30. | journal/cks-26-1.pdf
25-3 | 2017. 12. 31. | journal/cks-25-3.pdf
25-2 | 2017. 8. 3. | journal/cks-25-2.pdf
25-1 | 2017. 4. 30. | journal/cks-25-1.pdf
24-3 | 2016. 12. 31. | journal/cks-24-3.pdf
24-2 | 2016. 8. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-24-2.pdf
24-1 | 2016. 4. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-24-1.pdf
23-3 | 2015. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-23-3.pdf
23-2 | 2015. 8. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-23-2.pdf
23-1 | 2015. 4. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-23-1.pdf
22-3 | 2014. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-22-3.pdf
22-2 | 2014. 8. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-22-2.pdf
22-1 | 2014. 4. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-22-1.pdf
21-3 | 2013. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-21-3.pdf
21-2 | 2013. 8. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-21-2.pdf
21-1 | 2013. 4. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-21-1.pdf
20-3 | 2012. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-20-3.pdf
20-2 | 2012. 8. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-20-2.pdf
20-1 | 2012. 4. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-20-1.pdf
19-3 | 2011. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-19-3.pdf
19-2 | 2011. 8. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-19-2.pdf
19-1 | 2011. 4. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-19-1.pdf
18-3 | 2010. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-18-3.pdf
18-2 | 2010. 8. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-18-2.pdf
18-1 | 2010. 4. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-18-1.pdf
17-3 | 2009. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-17-3.pdf
17-2 | 2009. 8. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-17-2.pdf
17-1 | 2009. 4. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-17-1.pdf
16-2 | 2008. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-16-2.pdf
16-1 | 2008. 6. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-16-1.pdf
15-2 | 2007. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-15-2.pdf
15-1 | 2007. 6. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-15-1.pdf
14-2 | 2006. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-14-2.pdf
14-1 | 2006. 6. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-14-1.pdf
13-2 | 2005. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-13-2.pdf
13-1 | 2005. 6. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-13-1.pdf
12-2 | 2004. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-12-2.pdf
12-1 | 2004. 6. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-12-1.pdf
11-2 | 2003. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-11-2.pdf
11-1 | 2003. 6. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-11-1.pdf
10-2 | 2002. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-10-2.pdf
10-1 | 2002. 6. 29. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-10-1.pdf
9-1 | 2001. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-9-1.pdf
8-1 | 2001. 6. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-8-1.pdf
7-1 | 2000. 12. 31. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-7-1.pdf
6-1 | 2000. 6. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-6-1.pdf
5-1 | 1999. 12. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-5-1.pdf
4-1 | 1998. 12. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-4-1.pdf
3-1 | 1997. 8. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-3-1.pdf
2-1 | 1996. 8. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-2-1.pdf
1-1 | 1995. 12. 30. | https://github.com/iacks/iacks.github.io/releases/download/archive/cks-1-1.pdf
